City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595445057
souillac,-20.52,57.52,68.0,68,40,11.41,MU,1595445079
arraial do cabo,-22.97,-42.03,77.0,73,0,9.17,BR,1595445061
san cristobal,7.77,-72.22,86.0,48,75,21.92,VE,1595445084
airai,-8.93,125.41,53.73,65,99,3.76,TL,1595445105
cidreira,-30.18,-50.21,71.8,68,100,5.32,BR,1595445069
port lincoln,-34.73,135.87,49.28,81,2,8.81,AU,1595445059
kodiak,57.79,-152.41,62.6,51,40,10.29,US,1595445061
east london,-33.02,27.91,64.26,74,0,5.39,ZA,1595445069
batagay-alyta,67.8,130.41,60.58,66,0,2.24,RU,1595445100
kuusamo,65.97,29.18,60.8,93,90,9.17,FI,1595445314
kothi,24.75,80.78,85.53,68,81,4.16,IN,1595445314
edd,13.93,41.69,88.79,63,100,2.89,ER,1595445314
shahrud,36.42,54.98,76.39,53,0,8.32,IR,1595445315
avera,33.19,-82.53,93.2,46,1,5.82,US,1595445129
parana,-31.73,-60.52,57.0,89,100,1.99,AR,1595445315
carnarvon,-24.87,113.63,57.2,100,0,6.93,AU,1595445104
nyurba,63.28,118.33,56.53,89,98,6.87,RU,1595445316
roma,43.21,-75.46,75.99,83,90,4.7,US,1595445245
sobolevo,54.43,31.9,53.29,85,0,9.46,RU,1595445190
agadez,19.75,10.25,92.68,23,0,5.7,NE,1595445316
saint-philippe,-21.36,55.77,68.0,56,90,8.05,RE,1595445061
busselton,-33.65,115.33,57.99,55,8,21.32,AU,1595444855
turukhansk,65.82,87.98,56.57,70,100,11.27,RU,1595445056
santa isabel,-23.32,-46.22,80.6,36,0,3.36,BR,1595445317
narsaq,60.92,-46.05,68.0,24,40,29.97,GL,1595445060
lazaro cardenas,17.96,-102.2,84.61,74,100,2.51,MX,1595445186
rio gallegos,-51.62,-69.22,23.0,79,0,9.17,AR,1595445125
victoria,22.29,114.16,86.0,74,79,10.0,HK,1595444991
korla,41.76,86.15,82.0,74,100,3.0,CN,1595445110
pangnirtung,66.15,-65.71,50.0,87,90,19.46,CA,1595445116
lata,40.16,-8.33,82.99,81,0,4.16,PT,1595445109
esperance,-33.87,121.9,55.4,58,40,18.34,AU,1595445063
geraldton,-28.77,114.6,59.0,93,75,4.7,AU,1595445066
barrow,71.29,-156.79,37.4,93,90,9.17,US,1595444829
lorengau,-2.02,147.27,82.17,76,30,7.78,PG,1595444742
sabang,5.89,95.32,80.78,82,100,13.73,ID,1595445318
hithadhoo,-0.6,73.08,83.91,72,77,7.36,MV,1595445074
mbanza-ngungu,-5.25,14.87,76.75,35,28,5.1,CD,1595445318
tubuala,9.52,-79.03,81.0,88,75,11.41,PA,1595445318
clyde river,70.47,-68.59,46.4,87,90,3.36,CA,1595445122
laguna,38.42,-121.42,78.01,53,1,12.75,US,1595445127
isangel,-19.55,169.27,68.0,72,2,4.7,VU,1595445101
kavaratti,10.57,72.64,82.4,80,100,15.88,IN,1595445099
tiksi,71.69,128.87,51.12,83,96,1.99,RU,1595445064
kavieng,-2.57,150.8,82.13,77,10,13.27,PG,1595445072
buraydah,26.33,43.98,104.0,15,20,13.87,SA,1595445319
rawson,-43.3,-65.1,41.74,66,100,12.48,AR,1595445112
oranjestad,12.52,-70.03,91.4,55,20,21.92,AW,1595444865
khatanga,71.97,102.5,48.76,79,100,10.07,RU,1595445089
bazarnyy karabulak,52.27,46.41,64.15,80,5,5.12,RU,1595445320
ruteng,-8.61,120.47,59.25,93,33,2.71,ID,1595445320
razole,16.48,81.83,82.53,85,100,6.67,IN,1595445320
nogliki,51.83,143.17,49.41,95,100,9.4,RU,1595445321
westport,41.14,-73.36,88.0,78,1,11.41,US,1595445107
mhasla,18.13,73.12,80.58,88,100,1.48,IN,1595445321
san patricio,19.22,-104.7,91.4,70,40,11.41,MX,1595445107
hasaki,35.73,140.83,73.4,100,75,5.82,JP,1595445125
zhovtneve,50.66,24.25,57.25,85,0,4.29,UA,1595445321
maria chiquita,9.44,-79.76,82.0,78,99,10.0,PA,1595445321
ipixuna,-1.76,-48.8,86.0,62,40,5.82,BR,1595445321
sumbal,34.23,74.63,62.29,56,0,1.14,IN,1595445322
dunedin,-45.87,170.5,39.99,79,48,5.01,NZ,1595445112
bredasdorp,-34.53,20.04,51.8,93,0,2.01,ZA,1595445056
bambous virieux,-20.34,57.76,68.0,68,40,11.41,MU,1595445062
namibe,-15.2,12.15,67.01,73,17,4.88,AO,1595445126
hovd,48.01,91.64,61.81,69,7,4.09,MN,1595445322
severo-kurilsk,50.68,156.12,49.68,88,54,1.74,RU,1595445059
lons-le-saunier,46.75,5.75,77.0,57,0,10.29,FR,1595445322
mehamn,71.04,27.85,48.2,100,75,14.99,NO,1595445118
buala,-8.14,159.59,79.16,82,97,8.75,SB,1595445125
lavumisa,-27.31,31.89,56.93,83,0,2.35,SZ,1595445323
chuy,-33.7,-53.46,64.72,99,100,4.68,UY,1595445073
berlevag,70.86,29.09,48.2,100,75,14.99,NO,1595445115
desbiens,48.42,-71.95,68.0,72,90,2.21,CA,1595445323
shingu,33.73,135.98,73.83,88,100,3.56,JP,1595445136
aksu,41.12,80.26,73.78,42,98,8.21,CN,1595445323
paternion,46.71,13.64,64.4,100,40,2.24,AT,1595445324
tiznit,29.58,-9.5,86.07,33,0,4.83,MA,1595445324
dikson,73.51,80.55,40.42,92,0,5.93,RU,1595445077
lautaro,-38.52,-72.45,52.0,53,86,11.41,CL,1595445324
kuching,1.55,110.33,75.2,94,20,4.7,MY,1595444732
yellowknife,62.46,-114.35,66.2,77,75,14.99,CA,1595444885
winslow,35.02,-110.7,87.8,25,1,6.93,US,1595445325
port blair,11.67,92.75,82.44,75,100,1.45,IN,1595445129
touros,-5.2,-35.46,78.8,74,75,12.75,BR,1595445091
komsomolskiy,40.43,71.72,80.6,34,0,6.93,UZ,1595444746
upernavik,72.79,-56.15,48.27,64,0,12.46,GL,1595444906
bubaque,11.28,-15.83,80.8,81,48,9.95,GW,1595445325
santa cruz,-17.8,-63.17,87.8,55,75,17.22,BO,1595444547
waren,53.52,12.68,62.01,62,99,2.75,DE,1595445325
bukachacha,52.98,116.92,61.9,89,100,0.96,RU,1595445326
miri,4.41,114.01,75.2,94,40,8.05,MY,1595445082
ponta do sol,32.67,-17.1,69.01,70,0,4.54,PT,1595445117
iqaluit,63.75,-68.51,48.2,81,90,2.24,CA,1595445083
bitung,1.45,125.18,75.2,94,40,1.12,ID,1595445326
gazli,40.13,63.45,89.51,13,2,13.69,UZ,1595445327
camocim,-2.9,-40.84,87.37,41,0,13.4,BR,1595445327
necochea,-38.55,-58.74,48.0,98,100,17.0,AR,1595445098
barguzin,53.62,109.62,57.65,84,72,3.85,RU,1595445327
hambantota,6.12,81.12,78.8,100,40,4.7,LK,1595445122
kitakata,37.65,139.87,68.0,63,100,1.68,JP,1595445328
tuktoyaktuk,69.45,-133.04,44.6,87,90,8.05,CA,1595445075
bathsheba,13.22,-59.52,87.8,55,40,20.8,BB,1595445065
lulea,65.58,22.15,53.6,93,90,17.22,SE,1595445328
jhalawar,24.6,76.15,84.65,70,50,7.09,IN,1595445328
waipawa,-41.41,175.52,51.8,71,0,16.11,NZ,1595445222
krasnoarmeysk,51.02,45.7,72.0,47,28,1.01,RU,1595445328
tasiilaq,65.61,-37.64,44.6,81,40,6.93,GL,1595445096
ambon,-3.7,128.18,78.04,82,1,15.52,ID,1595445329
atar,20.52,-13.05,111.2,22,100,9.17,MR,1595445329
zabol,32.25,67.25,72.3,20,0,11.68,AF,1595445329
torquay,50.46,-3.51,68.0,61,100,3.0,GB,1595445329
voh,-20.97,164.7,61.84,83,31,5.32,NC,1595445329
kargasok,59.06,80.86,47.79,79,99,9.01,RU,1595445330
luganville,-15.53,167.17,75.2,73,20,5.82,VU,1595445058
galveston,29.37,-94.97,90.0,70,40,8.05,US,1595445291
vijapur,23.57,72.75,84.2,79,20,4.7,IN,1595445330
nanortalik,60.14,-45.24,55.74,59,69,13.67,GL,1595445061
ust-tsilma,65.44,52.15,64.6,60,0,6.42,RU,1595445330
llangefni,53.26,-4.31,59.0,93,100,13.87,GB,1595445330
tommot,58.96,126.29,52.95,88,0,2.42,RU,1595445330
jamestown,42.1,-79.24,80.01,69,75,10.29,US,1595444794
auki,-8.77,160.7,77.29,86,91,3.44,SB,1595444546
novoagansk,61.94,76.66,50.23,86,41,9.89,RU,1595445331
talnakh,69.49,88.4,53.6,87,10,22.37,RU,1595445065
deogarh,21.53,84.73,78.85,89,100,3.31,IN,1595445331
buenos aires,-34.61,-58.38,60.01,93,90,4.7,AR,1595444791
ilulissat,69.22,-51.1,55.4,50,40,5.82,GL,1595445058
comodoro rivadavia,-45.87,-67.5,41.0,80,40,3.36,AR,1595445111
tjome,59.11,10.39,66.0,59,20,5.82,NO,1595445332
kolokani,13.57,-8.03,84.85,61,23,6.85,ML,1595445332
dawei,14.08,98.2,77.94,85,95,2.08,MM,1595444747
tuatapere,-46.13,167.68,39.0,83,100,3.0,NZ,1595445062
turayf,31.67,38.66,95.0,17,0,2.24,SA,1595445332
faanui,-16.48,-151.75,77.11,79,27,19.26,PF,1595445060
aksarka,66.56,67.8,47.88,80,0,4.36,RU,1595445333
fowa,8.92,6.4,77.81,82,91,2.68,NG,1595445333
matara,5.95,80.54,78.94,89,100,4.21,LK,1595445333
pangody,65.85,74.49,49.05,78,0,12.1,RU,1595445333
bengkulu,-3.8,102.27,74.86,89,94,4.92,ID,1595445119
contamana,-7.33,-75.02,90.3,48,99,4.25,PE,1595445333
saskylakh,71.92,114.08,45.43,91,100,11.05,RU,1595445068
santarem,-2.44,-54.71,84.2,79,75,4.7,BR,1595445334
sitka,57.05,-135.33,57.2,82,90,4.7,US,1595444802
beringovskiy,63.05,179.32,47.88,80,0,4.14,RU,1595445071
chara,56.91,118.26,52.56,66,60,0.81,RU,1595444759
pisco,-13.7,-76.22,66.99,77,4,9.17,PE,1595444837
castro,-24.79,-50.01,72.09,54,84,4.7,BR,1595445095
ixtapa,20.7,-105.2,89.01,74,40,8.05,MX,1595444816
kantang,7.41,99.52,77.97,85,96,1.34,TH,1595445335
awjilah,29.11,21.29,80.29,52,0,20.92,LY,1595445059
chiguayante,-36.92,-73.02,55.4,82,75,4.7,CL,1595445335
kapit,2.02,112.93,74.17,95,100,0.92,MY,1595444776
inzer,54.22,57.56,59.4,91,100,4.72,RU,1595445335
mahajanga,-15.72,46.32,73.4,49,20,11.41,MG,1595445335
taoudenni,22.68,-3.98,111.22,12,76,11.88,ML,1595445336
guider,9.93,13.95,78.89,76,100,3.83,CM,1595445336
hobart,-42.88,147.33,44.01,86,1,1.12,AU,1595445004
andijon,40.78,72.34,77.0,96,0,7.0,UZ,1595445336
ankazoabo,-22.28,44.52,59.88,67,0,8.46,MG,1595445336
pacific grove,36.62,-121.92,68.0,60,90,12.75,US,1595444883
pantai remis,4.46,100.63,77.0,94,40,2.95,MY,1595445337
castlerea,53.77,-8.5,60.01,99,100,11.01,IE,1595445337
shakawe,-18.37,21.85,59.02,34,0,4.92,BW,1595445337
santa maria,-29.68,-53.81,78.12,68,100,5.32,BR,1595445337
katsuura,35.13,140.3,77.0,92,100,1.01,JP,1595445095
mosina,52.25,16.85,64.99,51,17,3.36,PL,1595445337
klaksvik,62.23,-6.59,51.8,81,95,5.82,FO,1595445081
kaitangata,-46.28,169.85,37.99,78,54,8.01,NZ,1595445077
mayo,38.89,-76.51,93.2,74,1,13.87,US,1595444781
bonavista,48.65,-53.11,66.4,60,60,5.19,CA,1595445057
dongsheng,39.82,109.98,67.01,68,79,9.75,CN,1595445338
wewak,-3.55,143.63,77.85,85,5,7.36,PG,1595445126
ahuimanu,21.44,-157.84,80.6,74,20,4.7,US,1595445219
guerrero negro,27.98,-114.06,76.32,56,9,11.79,MX,1595445157
port hedland,-20.32,118.57,60.8,55,0,8.05,AU,1595445223
kanigoro,-8.13,112.22,70.84,93,92,4.88,ID,1595445339
jumla,29.27,82.18,62.24,71,100,2.75,NP,1595445304
aklavik,68.22,-135.01,46.4,75,75,5.82,CA,1595445087
vila velha,-20.33,-40.29,80.6,65,20,11.41,BR,1595445081
tekeli,44.83,78.82,57.83,61,19,8.79,KZ,1595445339
tual,-5.67,132.75,79.16,82,100,18.25,ID,1595445090
xichang,27.9,102.26,68.99,83,100,3.02,CN,1595445340
luorong,24.41,109.61,77.99,83,0,3.58,CN,1595445340
ankang,32.68,109.02,72.54,88,100,2.44,CN,1595445340
norman wells,65.28,-126.83,53.6,87,75,14.99,CA,1595445095
saint-georges,12.06,-61.75,87.8,66,40,20.8,GD,1595445242
waingapu,-9.66,120.26,72.19,79,5,10.78,ID,1595444770
sheridan,44.83,-106.92,98.6,11,1,8.05,US,1595445341
torbay,47.67,-52.73,77.0,44,75,20.8,CA,1595445062
fergus falls,46.28,-96.08,73.0,60,1,3.36,US,1595445341
vostok,46.49,135.88,57.61,98,92,2.75,RU,1595445341
ust-nera,64.57,143.2,67.1,49,96,3.04,RU,1595445169
lasa,46.62,10.7,66.99,93,40,2.64,IT,1595445070
mitsamiouli,-11.38,43.28,76.33,64,10,10.67,KM,1595445342
yumen,40.28,97.2,71.74,44,100,7.38,CN,1595445342
sambava,-14.27,50.17,68.16,75,100,16.93,MG,1595445106
ponta delgada,37.73,-25.67,69.8,60,75,6.93,PT,1595444778
oistins,13.07,-59.53,87.8,55,40,19.46,BB,1595445342
bulusan,12.75,124.14,80.85,81,0,4.88,PH,1595445342
cockburn town,21.46,-71.14,86.0,66,40,13.87,TC,1595445061
cabo san lucas,22.89,-109.91,90.0,65,5,19.46,MX,1595445084
nouakchott,18.09,-15.98,86.0,74,20,18.34,MR,1595445077
manali,13.17,80.27,84.2,83,40,6.93,IN,1595445343
lompoc,34.64,-120.46,64.0,77,0,10.47,US,1595444885
namatanai,-3.67,152.43,78.76,80,99,6.55,PG,1595445120
longyearbyen,78.22,15.64,46.4,81,75,13.87,SJ,1595445056
tiarei,-17.53,-149.33,78.8,69,40,20.65,PF,1595444745
verkhovyna,48.16,24.79,58.8,86,93,1.68,UA,1595445343
cherskiy,68.75,161.3,67.86,47,100,8.86,RU,1595445075
chapais,49.78,-74.85,73.4,43,20,6.93,CA,1595445119
kahului,20.89,-156.47,82.4,58,20,3.36,US,1595444748
denpasar,-8.65,115.22,78.8,100,20,12.75,ID,1595445078
dubai,25.26,55.3,93.0,52,0,13.87,AE,1595445238
zonguldak,41.25,31.83,62.38,87,0,1.36,TR,1595445344
rondonopolis,-16.47,-54.64,96.3,15,0,6.04,BR,1595445059
wahiawa,21.5,-158.02,80.6,69,40,6.93,US,1595445121
te anau,-45.42,167.72,33.91,88,96,4.03,NZ,1595445217
kabakovo,54.54,56.15,60.8,100,90,8.95,RU,1595445345
raudeberg,61.99,5.14,53.6,71,40,8.05,NO,1595445345
central point,42.38,-122.92,86.0,37,1,3.36,US,1595445345
polovinnoye,54.79,65.99,60.76,77,100,6.38,RU,1595445345
kosonsoy,41.26,71.55,78.8,36,88,9.17,UZ,1595445345
ukiah,39.15,-123.21,81.0,56,20,5.82,US,1595445346
doka,13.52,35.77,74.3,82,68,9.75,SD,1595445346
nemuro,43.32,145.57,59.72,97,100,12.3,JP,1595444780
san fernando,15.03,120.69,84.2,83,20,8.05,PH,1595445346
state college,40.79,-77.86,79.0,100,75,6.93,US,1595445142
hobyo,5.35,48.53,78.01,71,46,28.27,SO,1595445346
broome,42.25,-75.83,81.0,57,40,8.05,US,1595445086
khasan,42.43,130.64,65.53,89,0,6.29,RU,1595445347
vao,-22.67,167.48,66.9,74,100,17.85,NC,1595445212
zhigansk,66.77,123.37,55.99,74,13,15.05,RU,1595445347
vila franca do campo,37.72,-25.43,69.8,60,75,6.93,PT,1595445104
ribeira grande,38.52,-28.7,73.4,69,40,8.05,PT,1595445065
asau,46.43,26.4,63.0,97,93,3.31,RO,1595445348
manjacaze,-24.71,33.88,57.61,79,0,5.19,MZ,1595445348
gigmoto,13.78,124.39,81.1,80,8,3.44,PH,1595445348
sao joao da barra,-21.64,-41.05,84.2,51,0,13.87,BR,1595445056
gilgit,35.92,74.31,76.96,32,0,1.03,PK,1595445348
bethanien,-26.5,17.16,61.5,29,0,5.66,NA,1595445349
bethel,41.37,-73.41,87.01,62,75,8.05,US,1595445065
ostrovnoy,68.05,39.51,60.73,77,45,8.81,RU,1595445111
troitsko-pechorsk,62.71,56.2,61.16,72,93,4.79,RU,1595445349
margate,51.38,1.39,64.0,53,4,3.0,GB,1595445349
juba,4.85,31.58,70.74,93,100,2.3,SS,1595445350
najran,17.49,44.13,95.0,12,40,6.93,SA,1595445350
biak,-0.91,122.88,76.51,84,38,6.38,ID,1595445074
farsund,58.09,6.8,57.0,81,0,14.81,NO,1595445350
boa vista,2.82,-60.67,77.0,83,75,13.87,BR,1595445125
nome,64.5,-165.41,52.0,87,90,3.53,US,1595444989
jacareacanga,-6.22,-57.75,95.0,39,0,4.7,BR,1595445057
alice town,25.72,-79.3,83.93,77,100,18.1,BS,1595445351
bowen,-20.02,148.23,63.0,93,90,4.7,AU,1595445351
codrington,-38.27,141.97,46.63,81,100,3.13,AU,1595445105
luderitz,-26.65,15.16,59.0,77,0,1.12,NA,1595445070
oranjemund,-28.55,16.43,61.47,63,0,6.82,NA,1595445164
humberto de campos,-2.6,-43.46,87.46,52,24,3.15,BR,1595445351
antalaha,-14.9,50.28,66.43,78,84,11.39,MG,1595444766
samarkand,39.65,66.96,82.4,30,25,6.93,UZ,1595445352
dano,11.15,-3.07,81.34,72,80,0.94,BF,1595445065
panguma,8.18,-11.13,73.26,98,100,3.22,SL,1595445352
melnikovo,56.56,84.08,52.0,85,5,4.47,RU,1595445352
krasnovishersk,60.41,57.08,61.38,73,100,4.63,RU,1595445352
ilheus,-14.79,-39.05,78.8,65,20,11.41,BR,1595445353
geilo,60.53,8.21,51.01,56,27,8.9,NO,1595445353
inzhavino,52.32,42.49,61.92,91,0,7.85,RU,1595445353
itarema,-2.92,-39.92,81.79,61,10,16.6,BR,1595444755
kruisfontein,-34.0,24.73,55.06,82,0,4.54,ZA,1595445094
hualmay,-11.1,-77.61,66.33,67,9,9.42,PE,1595445099
fortuna,40.6,-124.16,61.0,87,40,6.93,US,1595444788
manaure,11.78,-72.44,91.4,63,75,16.11,CO,1595444775
karak,31.17,35.75,80.6,57,0,9.17,JO,1595445354
fairbanks,64.84,-147.72,55.4,82,90,2.75,US,1595445332
suntar,62.14,117.63,52.77,95,81,3.94,RU,1595445355
verkhnevilyuysk,63.45,120.32,53.01,96,0,5.48,RU,1595445355
stornoway,58.21,-6.39,57.99,93,100,3.36,GB,1595445173
bandrele,-12.91,45.19,75.2,64,47,13.87,YT,1595445355
angoche,-16.23,39.91,69.08,73,0,8.68,MZ,1595445355
ladario,-19.0,-57.6,93.2,27,0,11.41,BR,1595445177
valparaiso,-33.04,-71.63,59.0,76,40,6.93,CL,1595445234
yaan,7.38,8.57,75.79,90,100,6.22,NG,1595445101
janow lubelski,50.71,22.41,66.99,53,0,1.01,PL,1595445356
vardo,70.37,31.11,48.2,100,90,32.21,NO,1595445100
kholodnyy,62.72,147.95,54.45,71,65,5.26,RU,1595445356
cascais,38.7,-9.42,79.0,54,0,12.75,PT,1595445356
ati,13.22,18.34,87.66,53,76,5.12,TD,1595445356
makakilo city,21.35,-158.09,80.6,69,1,6.93,US,1595445357
flinders,-34.58,150.86,48.0,85,9,3.0,AU,1595445357
belmonte,-15.86,-38.88,77.0,53,20,6.93,BR,1595445357
kurilsk,45.23,147.88,55.36,94,100,10.58,RU,1595445108
kloulklubed,7.04,134.26,77.0,94,75,7.85,PW,1595445357
jining,35.41,116.58,69.89,93,100,9.17,CN,1595445357
abu samrah,35.3,37.18,78.49,42,0,9.93,SY,1595445056
paamiut,61.99,-49.67,47.44,80,99,7.14,GL,1595445066
coffs harbour,-30.3,153.13,51.01,93,40,4.7,AU,1595445279
jefferson city,38.58,-92.17,87.8,55,1,4.7,US,1595445331
beruwala,6.48,79.98,79.32,88,100,7.05,LK,1595445358
jalu,29.03,21.55,81.36,50,0,21.25,LY,1595445108
grand gaube,-20.01,57.66,64.99,76,67,3.0,MU,1595444922
ekibastuz,51.67,75.37,67.32,52,0,4.0,KZ,1595445358
kupang,-10.17,123.58,73.15,79,92,12.1,ID,1595445359
lamu,-2.27,40.9,76.71,75,1,21.39,KE,1595445359
olafsvik,64.89,-23.71,49.77,68,94,9.37,IS,1595445098
sawakin,19.11,37.33,88.84,51,12,6.08,SD,1595445359
negotin,44.23,22.53,80.15,47,91,1.68,RS,1595445359
sol-iletsk,51.16,54.99,62.19,90,100,2.66,RU,1595445360
erbaa,40.67,36.57,71.6,88,40,3.36,TR,1595445360
luanda,-8.84,13.23,69.8,88,0,4.7,AO,1595445360
garowe,8.41,48.48,78.71,53,93,16.06,SO,1595445360
darnah,32.77,22.64,77.29,75,0,24.07,LY,1595444769
inta,66.03,60.17,65.21,66,0,15.43,RU,1595445361
kampot,10.62,104.18,77.0,94,40,1.12,KH,1595445361
faya,18.39,42.45,73.4,83,1,3.0,SA,1595445055
gobabis,-22.45,18.97,55.4,17,0,2.24,NA,1595445361
udachnyy,66.42,112.4,56.28,92,79,12.59,RU,1595445361
richards bay,-28.78,32.04,61.75,84,0,7.49,ZA,1595445361
taseyevo,57.22,94.9,51.3,97,14,4.76,RU,1595445362
valdez,1.25,-78.98,78.15,81,100,11.34,EC,1595445362
imbituba,-28.24,-48.67,78.8,47,100,8.05,BR,1595445094
majene,-3.54,118.97,77.67,90,100,14.81,ID,1595445362
puerto escondido,15.85,-97.07,84.2,74,40,11.41,MX,1595444772
edewecht,53.13,7.98,64.0,68,100,3.0,DE,1595445362
yambio,4.57,28.4,68.52,95,100,5.01,SS,1595445363
usinsk,65.99,57.53,64.31,66,0,6.8,RU,1595445363
sur,22.57,59.53,85.44,69,35,19.86,OM,1595445131
konstantinovsk,47.58,41.09,71.69,50,0,8.25,RU,1595445363
murmashi,68.82,32.81,64.4,72,94,11.18,RU,1595445363
acapulco,16.86,-99.89,86.0,70,40,5.82,MX,1595444872
tsogni,-2.79,10.1,69.4,89,5,6.49,GA,1595444783
viedma,-40.81,-63.0,45.0,81,100,5.99,AR,1595445113
progreso,21.28,-89.67,98.01,52,75,10.47,MX,1595445364
kamenka,51.32,42.77,66.99,82,0,8.1,RU,1595445364
tshikapa,-6.42,20.8,77.77,25,25,2.08,CD,1595445364
belaya gora,68.53,146.42,76.17,49,75,4.36,RU,1595444783
ballitoville,-29.54,31.21,57.2,93,0,3.36,ZA,1595445364
am timan,11.03,20.28,78.1,81,100,3.09,TD,1595445365
mahibadhoo,3.78,72.97,82.69,76,91,20.69,MV,1595445365
fuxin,42.02,121.66,73.29,61,0,1.45,CN,1595445365
solnechnyy,50.72,136.63,59.18,93,100,4.23,RU,1595445086
shar,49.59,81.05,63.21,64,75,7.27,KZ,1595445365
quatre cocos,-20.21,57.76,68.0,68,40,11.41,MU,1595444806
gazojak,41.19,61.4,90.9,23,100,22.59,TM,1595445365
mamallapuram,12.63,80.17,84.2,83,40,9.17,IN,1595445066
pevek,69.7,170.31,52.39,49,100,8.68,RU,1595445075
kidal,18.44,1.41,100.6,22,16,4.32,ML,1595445085
goundam,16.41,-3.67,97.97,27,0,2.55,ML,1595445366
ust-maya,60.42,134.53,55.63,68,65,7.47,RU,1595445366
saldanha,-33.01,17.94,55.4,82,0,4.7,ZA,1595445111
shimoda,34.67,138.95,70.0,93,100,4.09,JP,1595445091
husavik,66.04,-17.34,50.0,81,75,13.87,IS,1595445366
shipunovo,52.16,82.22,57.09,75,0,6.38,RU,1595445367
ribeira brava,32.65,-17.07,69.01,89,0,1.01,PT,1595445367
muli,2.92,73.57,83.28,76,79,17.2,MV,1595445123
novosheshminsk,55.07,51.23,63.23,89,100,5.64,RU,1595445367
srednekolymsk,67.45,153.68,70.57,41,77,7.09,RU,1595445134
saurimo,-9.66,20.39,68.4,27,0,5.64,AO,1595445368
sinnamary,5.38,-52.95,82.69,76,100,8.12,GF,1595445368
khlong luang,14.06,100.65,80.6,88,40,2.24,TH,1595445368
verkh-chebula,56.03,87.62,49.26,93,0,7.54,RU,1595445368
thaba-tseka,-29.52,28.61,39.06,54,0,1.28,LS,1595445368
bocas del toro,9.33,-82.25,70.0,69,100,5.99,PA,1595445369
manavalakurichi,8.13,77.3,82.4,83,40,3.65,IN,1595445369
porto torres,40.84,8.4,80.6,51,0,4.7,IT,1595445369
de-kastri,51.47,140.78,57.38,94,100,3.33,RU,1595445369
seoul,37.57,126.98,71.6,94,90,2.59,KR,1595445229
